Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HW247607,04/25/2013 04:50:00 PM,001XX W 35TH ST,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CTA PLATFORM,true,false,0915,009,11,34,18,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW246240,04/24/2013 05:15:00 PM,001XX W 35TH ST,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,0915,009,11,34,11,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW246173,04/24/2013 05:15:00 PM,001XX W 35TH ST,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,true,false,0915,009,11,34,11,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW245719,04/24/2013 01:00:00 PM,031XX S MICHIGAN AVE,THEFT,$500 AND UNDER,STREET,false,false,0211,002,3,35,06,1177700,1884303,2013,02/10/2018 03:50:01 PM,41.837852354,-87.623431548,POINT (-87.623431548 41.837852354)
HW245184,04/24/2013 01:29:00 AM,001XX W 35TH ST,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,CTA TRAIN,true,false,0915,009,11,34,03,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW245724,04/23/2013 09:00:00 PM,031XX S MICHIGAN AVE,THEFT,OVER $500,STREET,false,false,0211,002,3,35,06,1177700,1884296,2013,02/10/2018 03:50:01 PM,41.837833146,-87.62343176,POINT (-87.62343176 41.837833146)
HW243748,04/22/2013 09:40:00 PM,001XX W 35TH ST,ROBBERY,ATTEMPT: ARMED-HANDGUN,CTA TRAIN,false,false,0915,009,11,34,03,1175739,1881773,2013,02/10/2018 03:50:01 PM,41.830954079,-87.630703226,POINT (-87.630703226 41.830954079)
HW241890,04/20/2013 06:00:00 PM,031XX S MICHIGAN AVE,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,SIDEWALK,false,false,0211,002,3,35,10,1177699,1884310,2013,02/10/2018 03:50:01 PM,41.837871585,-87.623435005,POINT (-87.623435005 41.837871585)
HW239736,04/19/2013 07:00:00 PM,0000X E 31ST ST,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",RESIDENTIAL YARD (FRONT/BACK),false,false,0133,001,2,35,07,1177069,1884466,2013,02/10/2018 03:50:01 PM,41.838313926,-87.625742025,POINT (-87.625742025 41.838313926)
HW238610,04/18/2013 10:35:00 PM,0000X E 33RD ST,ROBBERY,ATTEMPT: AGGRAVATED,ALLEY,false,false,0211,002,3,35,03,1177619,1883152,2013,02/10/2018 03:50:01 PM,41.834695759,-87.62376366,POINT (-87.62376366 41.834695759)
